Datei,Dokumenttyp,Wichtigkeit,Bemerkung
01-mandatsnotiz-und-arbeitsauftrag.md,MD,mittel,"Erste Lage, Personen, Ziel und offene Fragen"
02-zeitstrahl-und-fristen.md,MD,mittel,Chronologie mit Entscheidungs- und Eskalationspunkten
03-prueffragen-fuer-erstgespraech.md,MD,mittel,Katalog für das erste strukturierte Gespräch
04-vorstandsvorlage-cyber-roadmap.docx,DOCX,hoch,Entwurf Vorstandsvorlage zur Cyber-Roadmap
05-cyber-risk-register.xlsx,XLSX,hoch,"Risikoregister mit Maßnahmen, Ownern und Fristen"
06-nis2-betroffenheitsvermerk.pdf,PDF,hoch,Vermerk zur vorläufigen NIS-2-/BSIG-Betroffenheit
07-slack-cloud-security-memo.pdf,PDF,hoch,Cloud-/SaaS-Prüfung Slack-Rollout
08-asset-inventar-auszug.csv,CSV,mittel,Asset-Inventar mit Lücken
09-email-ciso-an-legal.eml,EML,hoch,CISO fragt Legal nach Leitungsvorlage
10-email-einkauf-supplier-remote.eml,EML,mittel,Lieferant bittet um dauerhafte Fernwartung
11-backup-restore-protokoll.pdf,PDF,mittel,Restore-Test mit erkennbaren Lücken
12-whatsapp-it-legal.jpg,JPG,mittel,Chat-Screenshot IT/Legal mit operativer Dringlichkeit
13-screenshot-siem-alerts.jpg,JPG,mittel,SIEM-/SOC-Screenshot als Bilddatei
14-policy-entwurf-screenshots-und-chat.docx,DOCX,mittel,Policy-Entwurf Screenshots und Chat
15-betriebsrat-mdm-airtags.eml,EML,mittel,Betriebsrat verlangt Beteiligung
16-krisenstabs-runbook-auszug.md,MD,mittel,Runbook-Auszug Krisenstab
17-cloud-provider-c5-luecken.pdf,PDF,mittel,Cloud-Provider-Prüfung C5/Region/Exit
18-java-pki-zertifikatsnotiz.md,MD,mittel,Notiz zu Java-Code-Signing und PKI
19-lieferanten-questionnaire.csv,CSV,mittel,Supplier-Security-Fragebogen
20-board-briefing-draft.pdf,PDF,mittel,Board-Briefing als Arbeitsstand
21-offene-punkte-und-lueckenliste.md,MD,mittel,Offene Punkte und Lückenliste
22-anlagenindex.csv,CSV,mittel,Anlagenindex
